log_Teff,LogL_lsun,Age_gyr,Step,Log_g,Mass_msun,feh,Mass_input,Metallicity_input,Z_used,Age_input
3.75793462422015,-0.0375290797676257,3.5,433.30950765494214,4.463708123494851,1.004,0.022925973090661245,1.004,0.0,0.022917651,3.5
3.7581782399730104,-0.03529255576274314,3.5,433.79898489274024,4.462859991626304,1.0050000000000001,0.022925973072898356,1.0050000000000001,0.0,0.022917651,3.5
3.7584218504250195,-0.03305384187045146,3.5,434.2929132182536,4.462009648661311,1.0060000000000002,0.022925973055041265,1.006,0.0,0.022917651,3.5
3.7586653929825404,-0.030812095007349508,3.5,434.79179582885297,4.461156001366905,1.0070000000000001,0.022925973037084508,1.0070000000000001,0.0,0.022917651,3.5
3.7589088577391885,-0.02856712148318276,3.5,435.2957832680343,4.460298816314142,1.008,0.022925973019026324,1.008,0.0,0.022917651,3.5
3.759152321467922,-0.026319892463719047,3.5,435.80436811820533,4.459439371426577,1.0090000000000001,0.022925973000871343,1.0090000000000001,0.0,0.022917651,3.5
3.7593958146267163,-0.024069510467194893,3.5,436.3181982231021,4.458576885891959,1.0100000000000002,0.022925972986877534,1.01,0.0,0.022917651,3.5
3.7596393292341674,-0.0218161418880152,3.5,436.8372038921378,4.457711495627623,1.0110000000000003,0.022925972976023293,1.0110000000000001,0.0,0.022917651,3.5
3.7598828410551075,-0.019560448314519162,3.5,437.3609644320003,4.456843769411169,1.012,0.02292597296494876,1.012,0.0,0.022917651,3.5
3.7601263205027164,-0.01730119859805629,3.5,437.8903580557679,4.4559723662809185,1.0130000000000001,0.02292597294895705,1.0130000000000001,0.0,0.022917651,3.5
3.7603697827370577,-0.01503913400431665,3.5,438.42492819128154,4.455098082683734,1.014,0.02292597293110342,1.014,0.0,0.022917651,3.5
3.760613238034931,-0.012774676055419388,3.5,438.9644203778816,4.454221378097599,1.0150000000000003,0.02292597291312937,1.0150000000000001,0.0,0.022917651,3.5
3.760856589533819,-0.010506133011118406,3.5,439.5100197047412,4.453340167575589,1.016,0.02292597289403594,1.016,0.0,0.022917651,3.5
3.7610999284752262,-0.008235080453450462,3.5,440.06071049465737,4.452456397075805,1.0170000000000001,0.022925972874795274,1.0170000000000001,0.0,0.022917651,3.5
3.761343241776553,-0.00596122385495316,3.5,440.61679319066644,4.451569718454498,1.0180000000000002,0.02292597285737365,1.018,0.0,0.022917651,3.5
3.7615864945181254,-0.003683836078018047,3.5,441.1789500148821,4.450679261732529,1.0190000000000003,0.02292597284583271,1.0190000000000001,0.0,0.022917651,3.5
3.7618297392797593,-0.0014039400273328337,3.5,441.7463277879099,4.449786264824669,1.0200000000000002,0.022925972834295292,1.02,0.0,0.022917651,3.5
3.7620729013719463,0.0008795450404769478,3.5,442.31971019111654,4.448889352773675,1.0210000000000001,0.02292597281940194,1.0210000000000001,0.0,0.022917651,3.5
3.7623160015161514,0.003166346057550612,3.5,442.898954183843,4.44798888031466,1.022,0.022925972802001194,1.022,0.0,0.022917651,3.5
3.762559092394442,0.005455741348577097,3.5,443.4835988347572,4.447085776650839,1.0230000000000004,0.02292597278444488,1.0230000000000001,0.0,0.022917651,3.5
3.7628021209051834,0.00775012455886674,3.5,444.0750644589732,4.446177440784308,1.024,0.022925972764493548,1.024,0.0,0.022917651,3.5
3.7630451264919706,0.01004721257592147,3.5,444.67210314771074,4.445266308156991,1.0250000000000001,0.02292597274437573,1.025,0.0,0.022917651,3.5
3.763287908630421,0.012347751808471683,3.5,445.2754298482665,4.4443508282778055,1.0260000000000002,0.02292597272414057,1.026,0.0,0.022917651,3.5
3.7635303655835735,0.014652042845115117,3.5,445.8853773180818,4.443430293368679,1.027,0.02292597270378589,1.027,0.0,0.022917651,3.5
3.7637727574964077,0.016959063547293863,3.5,446.50108125872777,4.442506768836498,1.028,0.022925972683313135,1.028,0.0,0.022917651,3.5
3.764014950129136,0.019270244625145865,3.5,447.12391700966174,4.441578280520581,1.0290000000000001,0.02292597266272715,1.029,0.0,0.022917651,3.5
3.7642570623078093,0.021584332640184924,3.5,447.7527671395015,4.440646562995978,1.03,0.022925972642021012,1.03,0.0,0.022917651,3.5
3.764499025862864,0.023901862841573914,3.5,448.3882192711992,4.439710810938066,1.031,0.022925972621731298,1.031,0.0,0.022917651,3.5
3.7647408278277505,0.026222975950039855,3.5,449.0304564359728,4.438770831813744,1.032,0.0229259726019265,1.032,0.0,0.022917651,3.5
3.7649825451354646,0.028547060498880047,3.5,449.6788748207126,4.437827542464848,1.033,0.022925972582023856,1.033,0.0,0.022917651,3.5
3.7652239022554777,0.03087579277562498,3.5,450.3349399299616,4.436878167125948,1.0340000000000003,0.022925972562992582,1.034,0.0,0.022917651,3.5
3.765465184340273,0.03320745830283283,3.5,450.99727165474013,4.4359255586249615,1.035,0.022925972543782223,1.035,0.0,0.022917651,3.5
3.7657053184164737,0.03554335382810109,3.5,451.66679548249624,4.434964124126842,1.036,0.02292597252549918,1.036,0.0,0.022917651,3.5
3.7659448988176667,0.03788283280890539,3.5,452.34313548786133,4.433996889601273,1.037,0.022925972507644783,1.037,0.0,0.022917651,3.5
3.766184477217364,0.04022577561518531,3.5,453.0264628512233,4.433026188189211,1.0380000000000003,0.022925972490063156,1.038,0.0,0.022917651,3.5
3.7664240863577905,0.04257263728125942,3.5,453.71731762664376,4.432051699973691,1.039,0.022925972473110096,1.039,0.0,0.022917651,3.5
3.7666636305460752,0.04492272034112593,3.5,454.4149095904253,4.431073729210832,1.04,0.022925972455866882,1.04,0.0,0.022917651,3.5
3.7669027719667514,0.04727791107270236,3.5,455.120902167846,4.430089019864797,1.041,0.022925972433873676,1.041,0.0,0.022917651,3.5
3.7671418677273873,0.0496362652582928,3.5,455.8337103963287,4.429100964447279,1.0420000000000003,0.02292597241174064,1.042,0.0,0.022917651,3.5
3.7673807016327383,0.051999557339805234,3.5,456.5548462664088,4.428106940384709,1.043,0.02292597238942225,1.043,0.0,0.022917651,3.5
3.767619433152094,0.05436649915679914,3.5,457.28332257718967,4.42710886098908,1.044,0.022925972366951656,1.044,0.0,0.022917651,3.5
